ad_id,campaign_id,ad_platform,ad_type,target_gender,target_age_group,target_interests,name,start_date,end_date,duration_days,total_budget,Click,Comment,Impression,Like,Purchase,Share
1,28,Facebook,Video,Female,35-44,"art, technology",Campaign_28_Winter,2025-05-09,2025-06-30,52,32844.79,212,25,1743,56,8,8
2,33,Facebook,Stories,All,25-34,"travel, photography",Campaign_33_Summer,2025-04-08,2025-07-04,87,59264.68,205,23,1751,56,13,10
3,20,Instagram,Carousel,All,25-34,technology,Campaign_20_Winter,2025-02-17,2025-05-18,90,98904.66,225,27,1655,68,13,8
4,28,Facebook,Stories,Female,25-34,news,Campaign_28_Winter,2025-05-09,2025-06-30,52,32844.79,198,30,1737,56,12,10
5,24,Instagram,Image,Female,25-34,news,Campaign_24_Summer,2025-03-30,2025-05-23,54,56692.87,211,22,1693,60,11,8
6,33,Facebook,Video,Male,25-34,"finance, health",Campaign_33_Summer,2025-04-08,2025-07-04,87,59264.68,234,24,1746,61,10,12
7,9,Facebook,Image,Female,18-24,"fashion, gaming",Campaign_9_Launch,2025-05-25,2025-07-13,49,40094.07,197,19,1675,61,8,11
8,13,Facebook,Carousel,All,25-34,technology,Campaign_13_Winter,2025-04-19,2025-07-01,73,21855.42,206,28,1709,62,9,5
9,49,Instagram,Stories,All,35-44,"fitness, lifestyle",Campaign_49_Winter,2025-02-21,2025-05-17,85,28962.34,195,18,1738,58,9,9
10,17,Facebook,Stories,Female,18-24,art,Campaign_17_Launch,2025-04-22,2025-07-18,87,86675.92,186,34,1692,81,10,11
11,37,Facebook,Carousel,All,35-44,fashion,Campaign_37_Launch,2025-05-18,2025-08-01,75,46445.2,200,13,1725,66,9,10
12,45,Facebook,Stories,Female,35-44,"gaming, technology",Campaign_45_Summer,2025-05-26,2025-08-05,71,53303.55,178,12,1680,55,10,12
13,6,Facebook,Stories,Female,All,"health, food",Campaign_6_Winter,2025-06-21,2025-09-13,84,78607.49,188,21,1716,65,16,12
14,21,Instagram,Image,Female,35-44,"finance, lifestyle",Campaign_21_Winter,2025-04-19,2025-06-22,64,37290.81,214,25,1688,54,14,9
15,28,Facebook,Stories,All,All,fashion,Campaign_28_Winter,2025-05-09,2025-06-30,52,32844.79,198,20,1657,48,10,11
16,18,Facebook,Video,Female,35-44,"food, gaming",Campaign_18_Q3,2025-04-19,2025-06-15,57,48832.61,184,22,1655,73,8,10
17,48,Instagram,Image,All,35-44,"sports, travel",Campaign_48_Winter,2025-04-08,2025-06-01,54,13842.07,206,16,1694,65,7,6
18,30,Facebook,Video,Male,18-24,photography,Campaign_30_Winter,2025-02-25,2025-05-10,74,73911.29,219,18,1664,59,9,3
19,3,Facebook,Video,Female,18-24,gaming,Campaign_3_Winter,2025-05-04,2025-06-29,56,14343.25,194,22,1686,58,9,10
20,38,Instagram,Image,Male,35-44,"art, travel",Campaign_38_Q3,2025-04-21,2025-05-27,36,71038.28,225,23,1664,59,8,10
21,22,Instagram,Video,All,25-34,art,Campaign_22_Q3,2025-03-17,2025-04-22,36,35743.4,219,20,1668,70,7,8
22,30,Facebook,Stories,Male,35-44,finance,Campaign_30_Winter,2025-02-25,2025-05-10,74,73911.29,202,16,1769,55,13,11
23,33,Facebook,Image,All,18-24,news,Campaign_33_Summer,2025-04-08,2025-07-04,87,59264.68,196,22,1705,51,9,10
24,23,Facebook,Video,Female,All,technology,Campaign_23_Winter,2025-07-10,2025-10-02,84,26001.67,176,27,1640,52,13,17
25,29,Facebook,Video,Male,25-34,"travel, technology",Campaign_29_Winter,2025-07-16,2025-10-06,82,19773.66,206,27,1698,55,14,11
26,42,Facebook,Image,Female,All,"gaming, health",Campaign_42_Summer,2025-06-08,2025-07-25,47,7918.04,172,20,1710,62,5,6
27,4,Instagram,Video,Female,All,"health, fashion",Campaign_4_Summer,2025-06-04,2025-08-08,65,45326.6,199,21,1738,66,6,10
